Uniform distribution
Round took 0.002144224
Round took 0.003073581
Round took 0.015583443
Round took 0.004401059
Round took 0.004385484
Round took 0.005247667
Round took 0.005569695
Round took 0.001402825
Round took 0.003999988
Round took 0.002897817
Round took 0.00586338
Round took 0.003889116
Round took 0.008709347
Round took 0.002808144
Round took 0.004074504
Round took 0.004854088
Round took 0.006638546
Round took 0.006033248
Round took 0.004904752
Round took 0.004010454
Round took 0.001706549
Round took 0.003120884
Round took 0.004308814
Round took 0.004144615
Round took 0.00290753
Round took 0.005510145
Round took 0.004699652
Round took 0.003701351
Round took 0.005603579
Round took 0.004629834
Round took 0.004426357
Round took 0.005417788
Round took 0.003074437
Round took 0.003951466
Round took 0.003028165
Round took 0.003260119
Round took 0.002786347
Round took 0.00369838
Round took 0.00313519
Round took 0.00647984
Round took 0.003140675
Round took 0.005111325
Round took 0.005105813
Round took 0.004379611
Round took 0.004484261
Round took 0.006416645
Round took 0.004598505
Round took 0.00356451
Round took 0.004627061
Round took 0.005867058
Round took 0.00663229
Round took 0.004154175
Round took 0.00381699
Round took 0.003703242
Round took 0.005940149
Round took 0.005788291
Round took 0.00269717
Round took 0.003894676
Round took 0.004799273
Round took 0.003477233
Round took 0.003953476
Round took 0.005390872
Round took 0.007768464
Round took 0.003351553
Round took 0.002720833
Round took 0.008625798
Round took 0.003387451
Round took 0.003281682
Round took 0.003388225
Round took 0.004063174
Round took 0.004672561
Round took 0.004752462
Round took 0.005391066
Round took 0.003052583
Round took 0.004801795
Round took 0.005042199
Round took 0.003829281
Round took 0.004278619
Round took 0.003596868
Round took 0.002169027
Round took 0.004976301
Round took 0.003160246
Round took 0.003952296
Round took 0.00317939
Round took 0.005963079
Round took 0.003884412
Round took 0.005844688
Round took 0.004786416
Round took 0.00346757
Round took 0.004244733
Round took 0.003668158
Round took 0.00433848
Round took 0.004552019
Round took 0.00354629
Round took 0.003766944
Round took 0.004960207
Round took 0.004984023
Round took 0.002337856
Round took 0.005612721
Round took 0.004415692
Round took 0.004932115
Round took 0.004936189
Round took 0.004201442
Round took 0.003612014
Round took 0.005313386
Round took 0.004492696
Round took 0.004154629
Round took 0.003798335
Round took 0.005320501
Round took 0.005479203
Round took 0.003504728
Round took 0.003462859
Round took 0.005720845
Round took 0.004439223
Round took 0.004391746
Round took 0.0045223
Round took 0.003695692
Round took 0.004302127
Round took 0.006557564
Round took 0.005515059
Round took 0.00625454
Round took 0.003603803
Round took 0.004488679
Round took 0.005511348
Round took 0.005867981
Round took 0.008967565
Round took 0.006490382
Round took 0.003076485
Round took 0.005780006
Round took 0.156514433
Round took 0.005996204
Round took 0.004848764
Round took 0.004897234
Round took 0.006765948
Round took 0.004050386
Round took 0.00325389
Round took 0.002707415
Round took 0.003432387
Round took 0.004749339
Round took 0.161855063
Round took 0.003871416
Round took 0.006018463
Round took 0.004886251
Round took 0.007528099
Round took 0.005222363
Round took 0.003742897
Round took 0.003880166
Round took 0.003897074
Round took 0.00394583
Round took 0.003648182
Round took 0.00815023
Round took 0.004169953
Round took 0.003490092
Round took 0.006494659
Round took 0.077315202
Round took 0.001430674
Round took 0.005842308
Round took 0.003548227
Round took 0.00291415
Round took 0.004048155
Round took 0.003664887
Round took 0.005416696
Round took 0.006313455
Round took 0.004395049
Round took 0.005082946
Round took 0.008157085
Round took 0.006094788
Round took 0.00300252
Round took 0.004665102
Round took 0.005439479
Round took 0.006240979
Round took 0.004353369
Round took 0.003589983
Round took 0.005680537
Round took 0.005781687
Round took 0.00334334
Round took 0.005728586
Round took 0.00335244
Round took 0.002654331
Round took 0.003303783
Round took 0.003620486
Round took 0.004516814
Round took 0.004663409
Round took 0.003471307
Round took 0.027017281
Round took 0.003596688
Round took 0.005353853
Round took 0.003027448
Round took 0.004157607
Round took 0.003718001
Round took 0.026279015
Round took 0.004488964
Round took 0.004229967
Round took 0.003144538
Round took 0.005592723
Round took 0.004039788
Round took 0.00682716
Round took 0.003583786
Round took 0.004983807
Round took 0.003331362
Round took 0.003406515
Round took 0.00565508
Round took 0.004587288
Round took 0.004138938
Round took 0.00315167
Round took 0.005184536
Round took 0.004562057
Round took 0.002980103
Round took 0.006847261
