Uniform distribution
Round took 0.005259306
Round took 0.006044973
Round took 0.001648418
Round took 0.003584439
Round took 0.006069129
Round took 0.004396271
Round took 0.004824412
Round took 0.008458453
Round took 0.004988741
Round took 0.003262188
Round took 0.004832051
Round took 0.005059978
Round took 0.005558486
Round took 0.005353573
Round took 0.003645134
Round took 0.006194759
Round took 0.005103383
Round took 0.004049533
Round took 0.003760715
Round took 0.007963762
Round took 0.003390302
Round took 0.004489408
Round took 0.00471938
Round took 0.002078775
Round took 0.004060119
Round took 0.004095665
Round took 0.003342121
Round took 0.004438996
Round took 0.003779847
Round took 0.004088984
Round took 0.003910438
Round took 0.003950284
Round took 0.005327402
Round took 0.002193256
Round took 0.003955266
Round took 0.004508564
Round took 0.003006394
Round took 0.00516338
Round took 0.002704643
Round took 0.006185748
Round took 0.004885498
Round took 0.004170012
Round took 0.003294647
Round took 0.004117037
Round took 0.004190038
Round took 0.004088824
Round took 0.00623125
Round took 0.003638614
Round took 0.004272758
Round took 0.004002048
Round took 0.003735981
Round took 0.004116885
Round took 0.004164527
Round took 0.002828438
Round took 0.004467463
Round took 0.003777731
Round took 0.003773685
Round took 0.00517117
Round took 0.004557889
Round took 0.004388029
Round took 0.004636255
Round took 0.003119784
Round took 0.004504378
Round took 0.005438039
Round took 0.002766245
Round took 0.005386919
Round took 0.002220348
Round took 0.003045645
Round took 0.005401011
Round took 0.003500955
Round took 0.0032949
Round took 0.004202126
Round took 0.006488374
Round took 0.00493821
Round took 0.005062139
Round took 0.004461068
Round took 0.004166168
Round took 0.004020661
Round took 0.002599968
Round took 0.003559375
Round took 0.004169641
Round took 0.004008753
Round took 0.003621048
Round took 0.003992325
Round took 0.004453283
Round took 0.004870396
Round took 0.003465032
Round took 0.00436249
Round took 0.003631512
Round took 0.004200224
Round took 0.003357179
Round took 0.005091832
Round took 0.004709823
Round took 0.004005973
Round took 0.004254714
Round took 0.003252168
Round took 0.004697267
Round took 0.002777555
Round took 0.004575472
Round took 0.003022972
Round took 0.003798125
Round took 0.003474229
Round took 0.005011638
Round took 0.003200592
Round took 0.004140416
Round took 0.004544129
Round took 0.001665165
Round took 0.004335113
Round took 0.004473906
Round took 0.004920579
Round took 0.003698826
Round took 0.003982211
Round took 0.004723256
Round took 0.00207847
Round took 0.004881326
Round took 0.004229656
Round took 0.003351182
Round took 0.005279112
Round took 0.003845373
Round took 0.005633874
Round took 0.003377616
Round took 0.020969816
Round took 0.003942175
Round took 0.002538471
Round took 0.003781379
Round took 0.00490412
Round took 0.004483674
Round took 0.004523759
Round took 0.186177051
Round took 0.001830104
Round took 0.005215487
Round took 0.005284529
Round took 0.003004174
Round took 0.002819251
Round took 0.008387654
Round took 0.004875366
Round took 0.004638493
Round took 0.004433537
Round took 0.004605785
Round took 0.00263696
Round took 0.003280081
Round took 0.005262795
Round took 0.004147874
Round took 0.00641652
Round took 0.003241556
Round took 0.128354916
Round took 0.003465304
Round took 0.003749397
Round took 0.002357527
Round took 0.006145041
Round took 0.004000222
Round took 0.003440893
Round took 0.004010625
Round took 0.00546636
Round took 0.004262136
Round took 0.004535951
Round took 0.004426104
Round took 0.010736055
Round took 0.004552498
Round took 0.005220998
Round took 0.003566358
Round took 0.002277856
Round took 0.00194882
Round took 0.576176353
Round took 0.00279909
Round took 0.004470176
Round took 0.00664136
Round took 0.006816171
Round took 0.003665619
Round took 0.006448039
Round took 0.003649129
Round took 0.004115412
Round took 0.004002992
Round took 0.004387396
Round took 0.0062082
Round took 0.004921316
Round took 0.004927148
Round took 0.004321192
Round took 0.004655675
Round took 0.004951101
Round took 0.003314696
Round took 0.003710214
