Uniform distribution
Round took 0.006776456
Round took 0.014660446
Round took 0.006627365
Round took 0.005469142
Round took 0.003263109
Round took 0.003677135
Round took 0.005872492
Round took 0.006788131
Round took 0.010991211
Round took 0.008920728
Round took 0.004628923
Round took 0.006256628
Round took 0.004404474
Round took 0.005146159
Round took 0.004558493
Round took 0.006145551
Round took 0.004490909
Round took 0.005461006
Round took 0.0067398
Round took 0.006192336
Round took 0.007165812
Round took 0.003723391
Round took 0.005114642
Round took 0.006479045
Round took 0.002686014
Round took 0.005998607
Round took 0.005640144
Round took 0.004148743
Round took 0.007254991
Round took 0.004615012
Round took 0.006048633
Round took 0.005700058
Round took 0.006421439
Round took 0.007367266
Round took 0.00658328
Round took 0.007553664
Round took 0.010199363
Round took 0.006987249
Round took 0.005046602
Round took 0.005391082
Round took 0.004512579
Round took 0.009619167
Round took 0.007325257
Round took 0.008328572
Round took 0.003683558
Round took 0.007903922
Round took 0.00377721
Round took 0.00680628
Round took 0.005544354
Round took 0.008597805
Round took 0.00421174
Round took 0.005790368
Round took 0.005400007
Round took 0.006043993
Round took 0.005916244
Round took 0.004207354
Round took 0.006801461
Round took 0.005977173
Round took 0.003488134
Round took 0.113095247
Round took 0.006319042
Round took 0.193293696
Round took 0.004668258
Round took 0.004154327
Round took 0.005890905
Round took 0.009726546
Round took 0.004936228
Round took 0.177293968
Round took 0.005629176
Round took 0.005996114
Round took 0.007224445
Round took 0.00479899
Round took 0.005062092
Round took 0.004062657
Round took 0.007696334
Round took 0.366138003
Round took 0.007090837
Round took 0.003833434
Round took 0.006901259
Round took 0.005430636
Round took 0.003178157
Round took 0.008803485
Round took 0.00363705
Round took 0.005193938
Round took 0.003904279
Round took 0.011467367
Round took 0.004104965
Round took 0.130348421
Round took 0.005735245
Round took 0.005138537
Round took 0.00430915
Round took 0.404415129
Round took 0.006339898
Round took 0.00562347
Round took 0.005326588
Round took 0.008270094
Round took 0.010609679
Round took 0.007617763
Round took 0.011895007
Round took 0.005914347
Round took 0.005176816
Round took 0.007213009
Round took 0.006871105
Round took 0.317407019
Round took 0.006378378
Round took 0.005427863
Round took 0.005844591
Round took 0.007336256
Round took 0.005966461
Round took 0.006533037
Round took 0.005061134
Round took 0.006493952
Round took 0.009256451
Round took 0.004298142
Round took 0.001906122
Round took 0.121655469
Round took 0.003210609
Round took 0.002763267
Round took 0.007889508
Round took 0.002643976
Round took 0.006163553
Round took 0.005685374
Round took 0.008912636
Round took 0.007804971
Round took 0.003707716
Round took 0.00621449
Round took 0.005846221
Round took 0.004561909
Round took 0.457698889
Round took 0.006352127
Round took 0.00817354
Round took 0.005258631
Round took 0.005542562
Round took 0.008243451
Round took 0.007219891
Round took 0.007014147
Round took 0.006046537
Round took 0.007342076
Round took 0.004553373
Round took 0.006131985
Round took 0.003959619
Round took 0.007741982
Round took 0.123309711
Round took 0.009482063
Round took 0.00623914
Round took 0.005989677
Round took 0.005080281
Round took 0.003957944
Round took 0.004012474
Round took 0.003269599
Round took 0.004469666
Round took 0.00543632
Round took 0.006440592
Round took 0.005565037
Round took 0.006742872
Round took 0.004242045
Round took 0.006001312
Round took 0.006907291
Round took 0.005851846
