Uniform distribution
Round took 0.010441406
Round took 0.00063685
Round took 5.6507e-05
Round took 0.008131143
Round took 0.0020757
Round took 0.007022886
Round took 0.001526985
Round took 6.1523e-05
Round took 7.2705e-05
Round took 6.9548e-05
Round took 7.8903e-05
Round took 6.2713e-05
Round took 6.1385e-05
Round took 6.5854e-05
Round took 0.003962226
Round took 0.007080373
Round took 0.007309764
Round took 0.005937169
Round took 9.3099e-05
Round took 4.1833e-05
Round took 4.2056e-05
Round took 3.9618e-05
Round took 3.9256e-05
Round took 4.5554e-05
Round took 0.007163092
Round took 7.8738e-05
Round took 0.003119598
Round took 0.000334025
Round took 0.012435011
Round took 7.1742e-05
Round took 6.6192e-05
Round took 5.5064e-05
Round took 5.9777e-05
Round took 6.1363e-05
Round took 6.1479e-05
Round took 7.4695e-05
Round took 6.395e-05
Round took 5.7807e-05
Round took 6.5407e-05
Round took 6.2373e-05
Round took 7.2478e-05
Round took 6.6649e-05
Round took 6.1578e-05
Round took 6.3457e-05
Round took 5.4371e-05
Round took 4.4676e-05
Round took 3.8157e-05
Round took 0.017742801
Round took 0.007483889
Round took 9.1196e-05
Round took 9.8e-05
Round took 0.00040103
Round took 7.3572e-05
Round took 0.013802404
Round took 7.8584e-05
Round took 8.9647e-05
Round took 8.7468e-05
Round took 6.6678e-05
Round took 6.123e-05
Round took 0.000115316
Round took 7.2622e-05
Round took 7.1917e-05
Round took 7.0512e-05
Round took 6.2044e-05
Round took 7.5148e-05
Round took 5.6642e-05
Round took 6.3212e-05
Round took 6.2025e-05
Round took 5.721e-05
Round took 7.2392e-05
Round took 4.5681e-05
Round took 4.2998e-05
Round took 0.004061325
Round took 0.003122718
Round took 0.000175733
Round took 0.000163667
Round took 0.014873841
Round took 0.000126715
Round took 0.00028025
Round took 0.006891792
Round took 8.3761e-05
Round took 0.003475408
Round took 0.0002824
Round took 0.000119179
Round took 0.00010004
Round took 0.004146931
Round took 0.000158678
Round took 7.7044e-05
Round took 4.0682e-05
Round took 4.4374e-05
Round took 4.3168e-05
Round took 4.0937e-05
Round took 4.1727e-05
Round took 5.3209e-05
Round took 4.002e-05
Round took 6.2153e-05
Round took 0.004881903
Round took 0.015839701
Round took 0.000142692
Round took 0.000240363
Round took 7.6936e-05
Round took 4.3688e-05
Round took 6.3487e-05
Round took 6.9279e-05
Round took 0.006951099
Round took 0.000280588
Round took 0.000107702
Round took 7.0706e-05
Round took 2.9799e-05
Round took 8.7813e-05
Round took 0.002829096
Round took 6.7418e-05
Round took 0.001204115
Round took 0.004756418
Round took 8.5734e-05
Round took 0.23078604
Round took 0.008187118
Round took 0.200151086
Round took 0.205893473
Round took 0.003755997
Round took 0.016029646
Round took 0.007426995
Round took 5.3067e-05
Round took 7.0823e-05
Round took 4.6712e-05
Round took 0.373775183
Round took 7.8142e-05
Round took 0.0001318
Round took 0.000120995
Round took 3.4058e-05
Round took 0.000762371
Round took 5.5994e-05
Round took 0.000159879
Round took 0.1828177
Round took 0.000136654
Round took 5.2903e-05
Round took 0.000242055
Round took 0.000141546
Round took 0.000151533
Round took 0.001668417
Round took 0.022498998
Round took 6.7383e-05
Round took 5.9982e-05
Round took 7.4289e-05
Round took 7.5345e-05
Round took 0.000129187
Round took 0.000110481
Round took 0.000266267
Round took 4.8765e-05
Round took 6.5119e-05
Round took 4.6458e-05
Round took 4.6659e-05
Round took 4.5961e-05
Round took 4.5885e-05
Round took 4.49e-05
Round took 4.3721e-05
Round took 4.6836e-05
Round took 2.8426e-05
Round took 2.9655e-05
Round took 2.8037e-05
Round took 2.8743e-05
Round took 2.8184e-05
Round took 2.9072e-05
Round took 2.7585e-05
Round took 2.8936e-05
Round took 2.8735e-05
Round took 2.8666e-05
Round took 2.8205e-05
Round took 2.8903e-05
Round took 3.5217e-05
Round took 4.5311e-05
Round took 4.459e-05
Round took 5.7798e-05
Round took 4.7264e-05
Round took 0.00077102
Round took 0.170587972
Round took 0.012404257
Round took 0.592340969
Round took 0.007274374
Round took 4.0259e-05
Round took 0.000114743
Round took 0.000199667
Round took 0.012228731
Round took 7.916e-05
Round took 5.5649e-05
Round took 5.3842e-05
Round took 6.3517e-05
Round took 5.4124e-05
Round took 5.2776e-05
Round took 5.1668e-05
Round took 5.6541e-05
Round took 0.174815721
Round took 8.5042e-05
Round took 5.8444e-05
Round took 0.000114193
Round took 8.0081e-05
Round took 9.9785e-05
Round took 0.0055337
Round took 0.000650801
Round took 0.011975087
Round took 0.000632355
Round took 0.01250619
Round took 0.00604655
Round took 0.000116586
Round took 0.000111851
Round took 9.7476e-05
Round took 9.1645e-05
Round took 7.5435e-05
Round took 7.4867e-05
Round took 7.8155e-05
Round took 0.000116677
Round took 0.005077387
Round took 0.000106424
Round took 5.582e-05
